BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance

!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.0005
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 1.100  4481.   -0.20  4.24  1.321    0.630   5.80   5.11   4.56   3.73   3.14   3.05   2.99   2.98   3.09
 1.200  4647.   -0.09  4.23  1.398    0.785   5.40   4.77   4.26   3.49   2.96   2.87   2.82   2.81   2.91
 1.300  4837.    0.04  4.21  1.489    0.882   4.98   4.41   3.95   3.24   2.76   2.68   2.64   2.63   2.72
 1.400  5064.    0.18  4.17  1.602    0.938   4.52   4.01   3.59   2.96   2.53   2.46   2.42   2.42   2.49
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0100
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.010  1570.   -3.87  4.05  0.156    1.000  21.69  18.78  16.71  13.28  12.03  10.94   9.84   9.50   9.89
 0.015  2261.   -3.08  4.06  0.189    1.000  18.97  16.20  13.63  10.26   9.74   9.27   8.85   8.53   8.86
 0.020  2519.   -2.67  3.96  0.244    1.000  16.69  14.37  11.94   9.27   8.78   8.37   8.01   7.74   7.92
 0.030  2682.   -2.43  4.01  0.283    1.000  15.26  13.27  11.00   8.71   8.23   7.85   7.52   7.29   7.41
 0.040  2768.   -2.35  4.11  0.292    1.000  14.66  12.80  10.63   8.52   8.03   7.68   7.37   7.15   7.25
 0.050  2843.   -2.23  4.14  0.315    1.000  14.10  12.36  10.25   8.26   7.77   7.44   7.15   6.93   7.03
 0.060  2900.   -2.15  4.16  0.335    1.000  13.65  12.03   9.97   8.06   7.56   7.24   6.97   6.76   6.85
 0.070  2946.   -2.06  4.18  0.358    1.000  13.29  11.74   9.71   7.86   7.36   7.05   6.79   6.58   6.67
 0.072  2954.   -2.04  4.18  0.363    1.000  13.22  11.68   9.66   7.82   7.31   7.01   6.75   6.54   6.64
 0.075  2967.   -2.02  4.18  0.369    1.000  13.12  11.60   9.59   7.77   7.26   6.96   6.70   6.50   6.59
 0.080  2987.   -1.98  4.17  0.383    1.000  12.95  11.45   9.46   7.66   7.15   6.85   6.61   6.40   6.50
 0.090  3021.   -1.91  4.18  0.405    1.000  12.65  11.21   9.25   7.51   6.99   6.70   6.46   6.26   6.35
 0.100  3050.   -1.87  4.20  0.416    1.000  12.42  11.03   9.12   7.42   6.90   6.61   6.37   6.18   6.27
 0.110  3075.   -1.82  4.20  0.435    1.000  12.18  10.83   8.96   7.30   6.77   6.49   6.25   6.07   6.15
 0.130  3118.   -1.72  4.20  0.475    1.000  11.78  10.49   8.67   7.06   6.53   6.25   6.03   5.85   5.92
 0.150  3159.   -1.64  4.20  0.509    1.000  11.47  10.22   8.44   6.87   6.33   6.06   5.85   5.67   5.75
 0.170  3197.   -1.56  4.20  0.544    1.000  11.18   9.96   8.22   6.69   6.13   5.87   5.67   5.50   5.58
 0.200  3240.   -1.47  4.20  0.587    1.000  10.85   9.67   7.97   6.48   5.92   5.66   5.47   5.30   5.38
 0.300  3363.   -1.23  4.21  0.713    0.979   9.98   8.90   7.33   5.94   5.35   5.11   4.94   4.80   4.88
 0.400  3508.   -1.05  4.23  0.805    0.663   9.21   8.24   6.83   5.55   4.93   4.71   4.56   4.44   4.53
 0.500  3651.   -0.91  4.25  0.880    0.024   8.56   7.67   6.43   5.24   4.58   4.39   4.26   4.17   4.27
 0.600  3781.   -0.79  4.27  0.942    0.020   8.03   7.20   6.10   4.99   4.31   4.14   4.02   3.96   4.07
 0.700  3908.   -0.67  4.28  1.005    0.036   7.54   6.76   5.81   4.75   4.06   3.91   3.81   3.76   3.88
 0.800  4041.   -0.57  4.29  1.064    0.086   7.13   6.36   5.52   4.52   3.83   3.70   3.62   3.59   3.71
 0.900  4191.   -0.46  4.29  1.121    0.191   6.72   5.94   5.23   4.29   3.63   3.51   3.44   3.42   3.54
 1.000  4363.   -0.34  4.29  1.189    0.383   6.25   5.52   4.91   4.04   3.42   3.31   3.26   3.24   3.36
 1.100  4553.   -0.21  4.28  1.259    0.597   5.78   5.12   4.59   3.78   3.22   3.13   3.08   3.07   3.17
 1.200  4768.   -0.07  4.26  1.347    0.774   5.30   4.70   4.23   3.50   3.00   2.92   2.87   2.86   2.95
 1.300  5038.    0.09  4.22  1.459    0.880   4.76   4.24   3.81   3.17   2.74   2.67   2.63   2.63   2.70
 1.400  5363.    0.29  4.16  1.624    0.938   4.15   3.70   3.32   2.78   2.41   2.36   2.33   2.32   2.38
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0150
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.015  2237.   -3.11  4.08  0.185    1.000  19.18  16.38  13.81  10.36   9.83   9.36   8.92   8.59   8.93
 0.020  2495.   -2.74  4.02  0.229    1.000  17.01  14.64  12.18   9.44   8.96   8.54   8.17   7.90   8.10
 0.030  2614.   -2.69  4.22  0.222    1.000  16.35  14.09  11.75   9.32   8.84   8.46   8.12   7.87   8.04
 0.040  2721.   -2.55  4.28  0.240    1.000  15.30  13.38  11.16   9.00   8.50   8.14   7.83   7.60   7.73
 0.050  2827.   -2.41  4.30  0.261    1.000  14.62  12.79  10.69   8.69   8.20   7.86   7.56   7.35   7.46
 0.060  2892.   -2.30  4.32  0.282    1.000  14.05  12.41  10.35   8.45   7.95   7.62   7.34   7.14   7.24
 0.070  2943.   -2.21  4.32  0.302    1.000  13.64  12.09  10.07   8.24   7.73   7.42   7.15   6.95   7.05
 0.072  2952.   -2.19  4.32  0.307    1.000  13.57  12.03  10.02   8.20   7.69   7.38   7.11   6.91   7.01
 0.075  2965.   -2.17  4.32  0.312    1.000  13.46  11.95   9.95   8.14   7.63   7.33   7.06   6.86   6.96
 0.080  2986.   -2.13  4.32  0.324    1.000  13.29  11.80   9.81   8.04   7.53   7.22   6.97   6.77   6.87
 0.090  3023.   -2.06  4.32  0.342    1.000  12.97  11.54   9.60   7.88   7.36   7.07   6.82   6.63   6.72
 0.100  3056.   -2.01  4.34  0.355    1.000  12.69  11.32   9.43   7.76   7.24   6.95   6.71   6.52   6.61
 0.110  3086.   -1.95  4.34  0.373    1.000  12.41  11.09   9.25   7.62   7.09   6.81   6.58   6.39   6.47
 0.130  3131.   -1.84  4.33  0.407    1.000  12.01  10.75   8.96   7.39   6.85   6.57   6.35   6.17   6.25
 0.150  3169.   -1.76  4.33  0.438    0.999  11.70  10.47   8.73   7.19   6.64   6.38   6.16   5.99   6.06
 0.170  3205.   -1.68  4.33  0.469    0.997  11.41  10.22   8.51   7.01   6.45   6.19   5.99   5.82   5.89
 0.200  3252.   -1.59  4.33  0.508    0.985  11.07   9.91   8.25   6.79   6.23   5.97   5.77   5.61   5.69
 0.300  3374.   -1.34  4.33  0.623    0.594  10.18   9.12   7.59   6.23   5.64   5.40   5.23   5.09   5.17
 0.400  3498.   -1.17  4.34  0.707    0.000   9.49   8.52   7.12   5.85   5.24   5.01   4.85   4.74   4.82
 0.500  3621.   -1.03  4.36  0.774    0.000   8.89   7.99   6.74   5.54   4.91   4.70   4.56   4.47   4.56
 0.600  3748.   -0.91  4.37  0.834    0.001   8.36   7.52   6.40   5.28   4.62   4.44   4.31   4.24   4.34
 0.700  3891.   -0.78  4.38  0.895    0.003   7.83   7.04   6.07   5.01   4.34   4.18   4.07   4.02   4.14
 0.800  4054.   -0.65  4.38  0.955    0.021   7.34   6.56   5.73   4.74   4.07   3.93   3.85   3.82   3.94
 0.900  4263.   -0.51  4.37  1.020    0.111   6.78   6.01   5.35   4.44   3.79   3.68   3.62   3.60   3.72
 1.000  4530.   -0.35  4.36  1.092    0.318   6.13   5.46   4.92   4.11   3.53   3.44   3.39   3.38   3.48
 1.100  4850.   -0.15  4.33  1.189    0.576   5.45   4.88   4.42   3.72   3.24   3.17   3.12   3.12   3.20
 1.200  5264.    0.09  4.27  1.331    0.770   4.69   4.22   3.83   3.25   2.87   2.81   2.78   2.77   2.83
 1.300  5754.    0.40  4.15  1.593    0.880   3.81   3.43   3.10   2.65   2.35   2.30   2.29   2.28   2.32
 1.400  6422.    0.70  4.07  1.804    0.938   2.99   2.70   2.45   2.13   1.93   1.90   1.89   1.89   1.89
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0200
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.015  2209.   -3.15  4.10  0.181    1.000  19.47  16.61  14.05  10.49   9.94   9.46   9.00   8.67   9.01
 0.020  2411.   -2.92  4.14  0.198    1.000  17.95  15.34  12.84   9.88   9.39   8.97   8.58   8.29   8.55
 0.030  2555.   -2.84  4.34  0.194    1.000  17.07  14.67  12.28   9.70   9.21   8.82   8.47   8.21   8.42
 0.040  2681.   -2.68  4.38  0.213    1.000  15.81  13.80  11.54   9.30   8.80   8.44   8.12   7.88   8.04
 0.050  2811.   -2.52  4.40  0.233    1.000  14.99  13.08  10.97   8.96   8.46   8.13   7.82   7.61   7.72
 0.060  2883.   -2.41  4.42  0.251    1.000  14.34  12.68  10.62   8.71   8.21   7.88   7.60   7.39   7.50
 0.070  2940.   -2.31  4.42  0.271    1.000  13.88  12.33  10.31   8.48   7.98   7.66   7.39   7.19   7.29
 0.072  2950.   -2.29  4.42  0.275    1.000  13.80  12.26  10.26   8.44   7.93   7.62   7.35   7.15   7.25
 0.075  2964.   -2.27  4.42  0.279    1.000  13.69  12.18  10.18   8.39   7.88   7.57   7.30   7.10   7.20
 0.080  2986.   -2.22  4.42  0.290    1.000  13.50  12.02  10.05   8.28   7.77   7.47   7.21   7.01   7.11
 0.090  3025.   -2.15  4.42  0.306    1.000  13.17  11.75   9.83   8.12   7.61   7.31   7.06   6.87   6.96
 0.100  3059.   -2.10  4.43  0.319    1.000  12.87  11.51   9.65   7.99   7.47   7.18   6.93   6.75   6.83
 0.110  3090.   -2.03  4.43  0.336    0.999  12.58  11.27   9.46   7.85   7.32   7.04   6.80   6.62   6.70
 0.130  3141.   -1.93  4.42  0.366    0.996  12.16  10.92   9.16   7.61   7.07   6.80   6.57   6.40   6.47
 0.150  3182.   -1.84  4.42  0.396    0.987  11.83  10.62   8.91   7.40   6.85   6.59   6.37   6.20   6.27
 0.170  3215.   -1.77  4.42  0.422    0.960  11.56  10.39   8.71   7.23   6.68   6.41   6.20   6.04   6.11
 0.200  3263.   -1.67  4.41  0.460    0.852  11.21  10.07   8.43   6.99   6.44   6.18   5.98   5.82   5.89
 0.300  3392.   -1.42  4.41  0.565    0.006  10.30   9.26   7.76   6.42   5.84   5.60   5.43   5.29   5.37
 0.400  3500.   -1.25  4.42  0.643    0.000   9.66   8.69   7.31   6.05   5.45   5.23   5.06   4.95   5.02
 0.500  3609.   -1.11  4.43  0.710    0.000   9.09   8.19   6.93   5.74   5.12   4.91   4.76   4.66   4.75
 0.600  3733.   -0.98  4.44  0.771    0.000   8.55   7.71   6.58   5.46   4.82   4.63   4.50   4.42   4.52
 0.700  3894.   -0.85  4.45  0.829    0.000   7.98   7.19   6.22   5.18   4.51   4.35   4.24   4.19   4.30
 0.800  4102.   -0.69  4.44  0.895    0.009   7.41   6.60   5.81   4.84   4.17   4.04   3.97   3.94   4.06
 0.900  4406.   -0.50  4.42  0.966    0.089   6.62   5.90   5.32   4.46   3.85   3.75   3.69   3.68   3.79
 1.000  4793.   -0.28  4.39  1.057    0.308   5.79   5.20   4.73   4.01   3.51   3.44   3.39   3.38   3.47
 1.100  5302.    0.01  4.32  1.198    0.575   4.87   4.42   4.03   3.46   3.09   3.03   3.00   2.99   3.05
 1.200  5911.    0.35  4.21  1.430    0.770   3.90   3.54   3.23   2.82   2.54   2.50   2.49   2.48   2.51
 1.300  6330.    0.41  4.30  1.340    0.880   3.71   3.40   3.14   2.81   2.59   2.56   2.55   2.55   2.55
 1.400  6475.    0.50  4.28  1.415    0.938   3.48   3.20   2.95   2.64   2.44   2.41   2.40   2.40   2.40
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0250
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.015  2181.   -3.20  4.12  0.177    1.000  19.69  16.79  14.23  10.59  10.03   9.54   9.07   8.74   9.09
 0.020  2306.   -3.12  4.27  0.172    1.000  18.95  16.11  13.57  10.35   9.85   9.42   9.00   8.69   9.02
 0.030  2500.   -2.95  4.41  0.178    1.000  17.57  15.17  12.71   9.98   9.48   9.09   8.72   8.45   8.70
 0.040  2655.   -2.76  4.45  0.196    1.000  16.27  14.10  11.81   9.51   9.02   8.66   8.33   8.09   8.26
 0.050  2792.   -2.60  4.47  0.214    1.000  15.29  13.31  11.19   9.16   8.66   8.32   8.01   7.80   7.92
 0.060  2874.   -2.48  4.49  0.231    1.000  14.58  12.88  10.81   8.90   8.40   8.07   7.78   7.58   7.69
 0.070  2935.   -2.38  4.49  0.249    1.000  14.06  12.51  10.50   8.67   8.16   7.85   7.57   7.37   7.48
 0.072  2946.   -2.36  4.49  0.253    1.000  13.98  12.45  10.44   8.63   8.12   7.81   7.54   7.34   7.44
 0.075  2961.   -2.34  4.49  0.257    1.000  13.87  12.36  10.36   8.57   8.07   7.75   7.49   7.29   7.39
 0.080  2985.   -2.30  4.49  0.266    1.000  13.67  12.20  10.23   8.47   7.96   7.65   7.39   7.19   7.29
 0.090  3026.   -2.22  4.49  0.283    0.999  13.32  11.91   9.99   8.29   7.78   7.48   7.23   7.04   7.13
 0.100  3061.   -2.16  4.50  0.295    0.998  13.00  11.66   9.80   8.16   7.64   7.35   7.10   6.92   7.00
 0.110  3094.   -2.10  4.50  0.310    0.995  12.70  11.41   9.61   8.02   7.49   7.21   6.97   6.79   6.87
 0.130  3148.   -2.00  4.49  0.338    0.974  12.28  11.05   9.31   7.78   7.24   6.97   6.74   6.56   6.64
 0.150  3194.   -1.90  4.49  0.365    0.914  11.93  10.74   9.05   7.56   7.02   6.75   6.53   6.37   6.44
 0.170  3228.   -1.83  4.48  0.391    0.774  11.66  10.50   8.84   7.38   6.84   6.57   6.36   6.20   6.27
 0.200  3276.   -1.73  4.48  0.425    0.346  11.31  10.19   8.58   7.15   6.60   6.35   6.14   5.99   6.06
 0.300  3410.   -1.48  4.48  0.521    0.000  10.38   9.37   7.90   6.58   6.00   5.77   5.59   5.46   5.53
 0.400  3507.   -1.31  4.49  0.599    0.000   9.77   8.81   7.45   6.20   5.61   5.38   5.21   5.10   5.17
 0.500  3604.   -1.18  4.49  0.662    0.000   9.24   8.33   7.08   5.90   5.29   5.07   4.92   4.82   4.90
 0.600  3731.   -1.04  4.49  0.725    0.000   8.68   7.83   6.71   5.60   4.96   4.77   4.63   4.56   4.65
 0.700  3916.   -0.88  4.49  0.789    0.000   8.03   7.25   6.30   5.27   4.61   4.45   4.34   4.29   4.40
 0.800  4186.   -0.69  4.47  0.858    0.006   7.32   6.53   5.81   4.87   4.21   4.09   4.02   4.00   4.12
 0.900  4601.   -0.45  4.45  0.938    0.084   6.35   5.69   5.17   4.39   3.83   3.75   3.70   3.69   3.79
 1.000  5147.   -0.15  4.39  1.056    0.307   5.33   4.83   4.42   3.82   3.40   3.34   3.31   3.30   3.37
 1.100  5796.    0.18  4.31  1.220    0.575   4.35   3.97   3.65   3.21   2.91   2.87   2.85   2.85   2.88
 1.200  6102.    0.22  4.39  1.156    0.770   4.21   3.87   3.58   3.21   2.96   2.92   2.91   2.91   2.93
 1.300  6271.    0.35  4.34  1.276    0.880   3.86   3.55   3.28   2.93   2.71   2.67   2.67   2.66   2.67
 1.400  6622.    0.55  4.27  1.432    0.938   3.35   3.08   2.85   2.57   2.39   2.36   2.35   2.35   2.35
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0300
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.015  2139.   -3.26  4.15  0.171    1.000  19.92  17.03  14.47  10.74  10.16   9.67   9.18   8.85   9.22
 0.020  2184.   -3.29  4.34  0.159    1.000  20.10  17.08  14.50  10.83  10.25   9.78   9.30   8.97   9.34
 0.030  2448.   -3.05  4.47  0.167    1.000  18.15  15.51  13.04  10.18   9.69   9.30   8.92   8.63   8.92
 0.040  2632.   -2.83  4.51  0.185    1.000  16.68  14.35  12.04   9.67   9.19   8.82   8.49   8.24   8.43
 0.050  2755.   -2.68  4.53  0.200    1.000  15.55  13.59  11.42   9.34   8.84   8.50   8.18   7.96   8.10
 0.060  2860.   -2.55  4.54  0.217    1.000  14.82  13.06  10.98   9.05   8.55   8.22   7.93   7.72   7.84
 0.070  2925.   -2.45  4.55  0.233    1.000  14.28  12.70  10.67   8.83   8.32   8.01   7.73   7.53   7.64
 0.072  2936.   -2.43  4.55  0.236    1.000  14.20  12.63  10.61   8.79   8.28   7.97   7.69   7.49   7.60
 0.075  2952.   -2.40  4.55  0.241    1.000  14.07  12.52  10.52   8.72   8.21   7.90   7.63   7.43   7.54
 0.080  2977.   -2.36  4.55  0.249    0.999  13.88  12.37  10.39   8.62   8.11   7.81   7.54   7.35   7.45
 0.090  3020.   -2.28  4.55  0.264    0.997  13.51  12.08  10.15   8.45   7.93   7.64   7.38   7.19   7.29
 0.100  3056.   -2.22  4.55  0.277    0.990  13.18  11.82   9.95   8.31   7.78   7.49   7.24   7.06   7.15
 0.110  3089.   -2.16  4.56  0.289    0.973  12.88  11.58   9.77   8.17   7.65   7.36   7.12   6.94   7.02
 0.130  3145.   -2.05  4.55  0.317    0.888  12.42  11.19   9.45   7.92   7.38   7.11   6.88   6.71   6.78
 0.150  3193.   -1.96  4.55  0.342    0.653  12.06  10.88   9.19   7.71   7.17   6.90   6.67   6.51   6.58
 0.170  3231.   -1.88  4.54  0.366    0.297  11.78  10.62   8.98   7.52   6.98   6.71   6.50   6.34   6.41
 0.200  3279.   -1.78  4.54  0.398    0.008  11.42  10.31   8.71   7.29   6.74   6.49   6.28   6.13   6.20
 0.300  3413.   -1.54  4.54  0.488    0.000  10.50   9.49   8.03   6.72   6.15   5.91   5.73   5.60   5.67
 0.400  3508.   -1.36  4.54  0.564    0.000   9.89   8.93   7.58   6.33   5.74   5.51   5.34   5.23   5.30
 0.500  3602.   -1.23  4.54  0.627    0.000   9.36   8.45   7.20   6.02   5.41   5.20   5.04   4.94   5.02
 0.600  3739.   -1.08  4.54  0.692    0.000   8.75   7.91   6.80   5.69   5.06   4.87   4.73   4.66   4.75
 0.700  3960.   -0.90  4.52  0.758    0.000   8.01   7.24   6.33   5.32   4.66   4.50   4.40   4.36   4.47
 0.800  4320.   -0.66  4.50  0.834    0.005   7.11   6.36   5.73   4.84   4.20   4.10   4.04   4.02   4.14
 0.900  4848.   -0.37  4.46  0.925    0.083   6.00   5.43   4.97   4.27   3.78   3.71   3.67   3.66   3.74
 1.000  5520.   -0.03  4.39  1.053    0.307   4.93   4.51   4.15   3.64   3.30   3.26   3.23   3.23   3.27
 1.100  5897.    0.07  4.44  1.045    0.575   4.59   4.23   3.92   3.50   3.22   3.18   3.17   3.16   3.19
 1.200  6052.    0.19  4.41  1.133    0.770   4.29   3.95   3.65   3.27   3.01   2.98   2.96   2.96   2.98
 1.300  6335.    0.38  4.33  1.287    0.880   3.79   3.49   3.22   2.89   2.67   2.64   2.64   2.63   2.64
 1.400  6743.    0.56  4.29  1.400    0.938   3.32   3.06   2.84   2.58   2.41   2.39   2.38   2.38   2.38
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0400
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.015  1996.   -3.45  4.22  0.158    1.000  20.80  17.86  15.41  11.26  10.61  10.05   9.48   9.14   9.52
 0.020  2005.   -3.52  4.42  0.144    1.000  20.87  17.95  15.51  11.39  10.75  10.24   9.66   9.32   9.74
 0.030  2366.   -3.18  4.55  0.153    1.000  18.90  16.13  13.60  10.52  10.00   9.60   9.19   8.89   9.24
 0.040  2581.   -2.95  4.59  0.167    1.000  17.39  14.87  12.49   9.97   9.49   9.12   8.77   8.51   8.75
 0.050  2699.   -2.80  4.61  0.183    1.000  15.99  14.04  11.79   9.60   9.10   8.75   8.43   8.20   8.37
 0.060  2830.   -2.65  4.63  0.196    1.000  15.24  13.38  11.28   9.31   8.81   8.48   8.17   7.96   8.10
 0.070  2904.   -2.55  4.63  0.211    0.999  14.64  12.98  10.93   9.07   8.56   8.24   7.96   7.75   7.87
 0.072  2916.   -2.53  4.63  0.214    0.998  14.55  12.91  10.87   9.02   8.51   8.20   7.92   7.72   7.84
 0.075  2933.   -2.50  4.64  0.218    0.996  14.43  12.82  10.79   8.97   8.45   8.14   7.87   7.67   7.78
 0.080  2961.   -2.45  4.63  0.225    0.993  14.21  12.64  10.64   8.86   8.34   8.04   7.77   7.57   7.68
 0.090  3007.   -2.38  4.64  0.239    0.973  13.84  12.35  10.40   8.68   8.16   7.86   7.60   7.41   7.52
 0.100  3046.   -2.31  4.64  0.250    0.906  13.48  12.08  10.20   8.54   8.01   7.72   7.47   7.29   7.38
 0.110  3081.   -2.25  4.64  0.263    0.778  13.14  11.82  10.00   8.39   7.86   7.58   7.33   7.15   7.24
 0.130  3138.   -2.14  4.64  0.287    0.288  12.67  11.43   9.69   8.15   7.61   7.34   7.10   6.93   7.01
 0.150  3187.   -2.05  4.63  0.309    0.011  12.30  11.11   9.43   7.94   7.40   7.13   6.90   6.74   6.81
 0.170  3229.   -1.97  4.63  0.330    0.000  12.00  10.85   9.20   7.75   7.21   6.94   6.73   6.57   6.64
 0.200  3280.   -1.87  4.63  0.360    0.000  11.63  10.52   8.92   7.51   6.96   6.71   6.50   6.35   6.42
 0.300  3410.   -1.62  4.62  0.443    0.000  10.71   9.69   8.24   6.94   6.37   6.13   5.94   5.81   5.88
 0.400  3509.   -1.44  4.62  0.514    0.000  10.07   9.11   7.77   6.53   5.95   5.72   5.55   5.43   5.51
 0.500  3606.   -1.29  4.61  0.580    0.000   9.50   8.60   7.36   6.18   5.58   5.37   5.21   5.11   5.19
 0.600  3771.   -1.12  4.59  0.647    0.000   8.80   7.97   6.90   5.81   5.18   4.99   4.86   4.79   4.88
 0.700  4084.   -0.88  4.56  0.723    0.000   7.89   7.09   6.28   5.32   4.66   4.53   4.44   4.41   4.53
 0.800  4645.   -0.57  4.53  0.806    0.005   6.61   5.97   5.46   4.69   4.15   4.07   4.02   4.01   4.11
 0.900  5301.   -0.25  4.49  0.892    0.083   5.52   5.06   4.67   4.11   3.72   3.67   3.64   3.63   3.69
 1.000  5570.   -0.15  4.53  0.900    0.307   5.22   4.81   4.46   3.96   3.63   3.58   3.56   3.56   3.60
 1.100  5822.    0.02  4.47  1.006    0.575   4.74   4.37   4.05   3.61   3.32   3.28   3.27   3.26   3.30
 1.200  6090.    0.21  4.40  1.145    0.770   4.24   3.90   3.61   3.23   2.98   2.94   2.93   2.93   2.95
 1.300  6413.    0.40  4.33  1.287    0.880   3.73   3.44   3.18   2.86   2.66   2.63   2.62   2.62   2.62
 1.400  6757.    0.56  4.30  1.389    0.938   3.32   3.07   2.85   2.59   2.43   2.40   2.40   2.39   2.39
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0500
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
!-----------------------------------------------------------------------------------------------
 0.015  1760.   -3.74  4.29  0.146    1.000  21.36  18.59  16.45  12.51  11.43  10.63   9.83   9.50   9.90
 0.020  1838.   -3.72  4.47  0.137    1.000  21.25  18.52  16.33  12.26  11.31  10.64   9.91   9.58   9.96
 0.030  2304.   -3.28  4.60  0.144    1.000  19.38  16.44  13.90  10.70  10.21   9.81   9.39   9.08   9.47
 0.040  2525.   -3.05  4.65  0.156    1.000  17.84  15.33  12.88  10.22   9.71   9.34   8.98   8.71   8.99
 0.050  2671.   -2.88  4.67  0.170    1.000  16.49  14.37  12.08   9.80   9.30   8.95   8.62   8.38   8.58
 0.060  2804.   -2.73  4.69  0.182    0.999  15.53  13.62  11.50   9.49   8.99   8.66   8.35   8.14   8.28
 0.070  2882.   -2.63  4.70  0.195    0.992  14.96  13.22  11.15   9.26   8.75   8.43   8.14   7.94   8.07
