log(sep) DeltaG log(RUWE) sigma_log(RUWE)
 1.475  0.700 0.114491  0.23766 
 1.525  0.700 0.154826  0.23525 
 1.575  0.700 0.206789  0.23318 
 1.625  0.700 0.271499  0.23144 
 1.675  0.700 0.349562  0.23003 
 1.725  0.700 0.440936  0.22897 
 1.775  0.700 0.544831  0.22823 
 1.825  0.700 0.659654  0.22777 
 1.875  0.700 0.783006  0.22752 
 1.925  0.700 0.911738  0.22739 
 1.975  0.700 1.042068  0.22732 
 2.025  0.700 1.169757  0.22728 
 2.075  0.700 1.290322  0.22725 
 2.125  0.700 1.399288  0.22722 
 2.175  0.700 1.492448  0.22721 
 2.225  0.700 1.566117  0.22725 
 2.275  0.700 1.617357  0.22735 
 2.325  0.700 1.644157  0.22752 
 2.375  0.700 1.645558  0.22775 
 2.425  0.700 1.621704  0.22802 
 2.475  0.700 1.573824  0.22831 
 2.525  0.700 1.504140  0.22859 
 2.575  0.700 1.415721  0.22882 
 2.625  0.700 1.312281  0.22897 
 2.675  0.700 1.197949  0.22904 
 2.725  0.700 1.077025  0.22903 
 2.775  0.700 0.953740  0.22897 
 2.825  0.700 0.832035  0.22887 
 2.875  0.700 0.715382  0.22877 
 2.925  0.700 0.606647  0.22869 
 2.975  0.700 0.507999  0.22866 
 3.025  0.700 0.420883  0.22868 
 3.075  0.700 0.346031  0.22877 
 3.125  0.700 0.283522  0.22903 
 3.175  0.700 0.232874  0.22960 
 3.225  0.700 0.193153  0.23074 
 3.275  0.700 0.163103  0.23286 
 3.325  0.700 0.141264  0.23648 
 1.275  0.800 0.039629  0.25353 
 1.325  0.800 0.049222  0.24764 
 1.375  0.800 0.063614  0.24325 
 1.425  0.800 0.084491  0.23987 
 1.475  0.800 0.113604  0.23714 
 1.525  0.800 0.152649  0.23484 
 1.575  0.800 0.203124  0.23287 
 1.625  0.800 0.266170  0.23122 
 1.675  0.800 0.342425  0.22988 
 1.725  0.800 0.431889  0.22888 
 1.775  0.800 0.533823  0.22819 
 1.825  0.800 0.646689  0.22776 
 1.875  0.800 0.768146  0.22752 
 1.925  0.800 0.895106  0.22740 
 1.975  0.800 1.023844  0.22733 
 2.025  0.800 1.150172  0.22728 
 2.075  0.800 1.269652  0.22722 
 2.125  0.800 1.377841  0.22717 
